@RELATION riaa
@ATTRIBUTE ratio_0_9 NUMERIC
@ATTRIBUTE ratio_1_9 NUMERIC
@ATTRIBUTE ratio_2_9 NUMERIC
@ATTRIBUTE ratio_21_9 NUMERIC
@ATTRIBUTE ratio_22_9 NUMERIC
@ATTRIBUTE ratio_23_9 NUMERIC
@ATTRIBUTE ratio_4_0 NUMERIC
@ATTRIBUTE ratio_5_0 NUMERIC
@ATTRIBUTE ratio_6_0 NUMERIC
@ATTRIBUTE class {riaa_ok, riaa_ko}
@DATA
0.72452188, 0.91964257, 0.97494292, 0.84551132, 0.71674138, 0.55237645, 1.37498355, 1.30456078, 1.25689399, riaa_ok
0.67646062, 0.83888322, 0.85846496, 0.77031446, 0.63353002, 0.44735360, 1.28925347, 1.30277240, 1.37482345, riaa_ok
0.61484033, 0.76926714, 0.83070236, 0.84192920, 0.68711483, 0.51629424, 1.39004099, 1.38231182, 1.43533611, riaa_ok
0.44526467, 0.72138244, 0.91059750, 0.85290205, 0.69518691, 0.50604939, 2.31466341, 2.46308899, 2.58664322, riaa_ok
0.40779051, 0.64923251, 0.80909383, 0.33309081, 0.22321241, 0.12373973, 2.28466511, 2.34743357, 2.40739059, riaa_ok
0.41246873, 0.65374255, 0.83152199, 0.40373680, 0.27873781, 0.15803444, 2.32164907, 2.43874478, 2.46364403, riaa_ok
0.57798302, 0.77362633, 0.86981148, 0.32498604, 0.22574344, 0.13207868, 1.57766879, 1.61721873, 1.72403574, riaa_ok
0.39008394, 0.62866265, 0.84831548, 0.37626931, 0.24198022, 0.11794603, 2.58216691, 2.64283824, 2.64332008, riaa_ok
0.35781002, 0.63419145, 0.86238456, 0.13953072, 0.06947502, 0.02593926, 2.81406450, 2.90716839, 3.01318526, riaa_ok
0.36844313, 0.63885075, 0.86300445, 0.25462908, 0.16383591, 0.07397433, 2.77396035, 2.84854341, 2.87706900, riaa_ok
0.72184390, 0.93845761, 1.02856243, 0.80684978, 0.67698252, 0.51103729, 1.45912719, 1.44613862, 1.46694922, riaa_ok
0.66837192, 0.84873772, 0.93229675, 0.57413709, 0.42964908, 0.28073475, 1.54008842, 1.54791927, 1.59082305, riaa_ok
0.55561399, 0.84186643, 1.08237910, 0.43250743, 0.32881030, 0.21506289, 2.17848063, 2.21330237, 2.18995643, riaa_ok
0.64766836, 0.84643716, 0.91541892, 0.64133799, 0.47967368, 0.31870717, 1.44328964, 1.41632974, 1.46781409, riaa_ok
0.39820686, 0.66020864, 0.87377334, 0.29355514, 0.17864625, 0.07232403, 2.54831672, 2.50763369, 2.47785354, riaa_ok
0.69271559, 0.94846672, 1.06057560, 0.17028302, 0.10000836, 0.03961213, 1.60804677, 1.57851362, 1.53919423, riaa_ok
0.84176433, 1.03169978, 1.03760278, 0.66381991, 0.54559445, 0.39224035, 1.24014831, 1.19605100, 1.18780518, riaa_ok
0.60516906, 0.78842020, 0.87910742, 0.55576640, 0.42878461, 0.28430960, 1.53978145, 1.49482071, 1.56399202, riaa_ok
0.84356284, 1.15734279, 1.29013324, 0.21912968, 0.12914829, 0.05736885, 1.58021188, 1.47476339, 1.39142179, riaa_ok
0.50914180, 0.72503877, 0.89551330, 0.60936999, 0.48703489, 0.33953908, 2.05474830, 2.23447061, 2.20899391, riaa_ok
0.92464399, 1.11041868, 1.26551604, 0.41841885, 0.30410048, 0.17664611, 1.41143560, 1.25576591, 1.15913415, riaa_ok
0.81746584, 1.06530404, 1.20920539, 0.95064235, 0.82629442, 0.64012700, 1.55816257, 1.42968786, 1.35310423, riaa_ok
0.55112922, 0.76756680, 0.93326378, 0.75466013, 0.61903620, 0.45187560, 1.86325395, 1.86469758, 1.90807891, riaa_ok
0.61686307, 0.81778932, 0.92251772, 0.91449708, 0.79094470, 0.61361730, 1.59027648, 1.56699812, 1.60408449, riaa_ok
0.85111851, 1.04218662, 1.11342478, 0.62901074, 0.51059419, 0.35942498, 1.34247875, 1.29306722, 1.26615477, riaa_ok
0.66437101, 0.96552950, 1.10488760, 0.64533561, 0.45988187, 0.28029048, 1.69928443, 1.56774092, 1.48022735, riaa_ok
0.54446179, 0.74365836, 0.86071354, 0.42653364, 0.30749694, 0.18274063, 1.88270509, 2.05579448, 2.11936498, riaa_ok
0.51843613, 0.69911307, 0.78354931, 0.54003590, 0.41825607, 0.27680922, 1.63950205, 1.64648581, 1.71170437, riaa_ok
0.66206682, 0.84478617, 0.90518636, 0.75541121, 0.63026887, 0.47838235, 1.40482581, 1.40559053, 1.47502828, riaa_ok
0.62906981, 0.77255940, 0.83010048, 0.78323090, 0.66508865, 0.51396310, 1.39216042, 1.39209294, 1.48391128, riaa_ok
0.93346947, 1.22473466, 1.36816108, 0.58987534, 0.49060646, 0.32924479, 1.56964827, 1.49734592, 1.39132464, riaa_ok
0.64141339, 0.84678853, 0.94380373, 0.89088601, 0.73878318, 0.54686141, 1.58088005, 1.59259820, 1.65957034, riaa_ok
0.98949462, 1.12272894, 1.10755229, 0.28758001, 0.19256917, 0.09205538, 1.06708694, 1.03430474, 1.04024684, riaa_ok
1.00587058, 1.21436143, 1.29050756, 0.70192534, 0.51560980, 0.31793386, 1.33199131, 1.29598486, 1.20552111, riaa_ok
1.03275251, 1.22983086, 1.23316884, 0.93619806, 0.75076634, 0.52877700, 1.17777145, 1.08336759, 1.02792668, riaa_ok
0.35988519, 0.55439728, 0.72340196, 0.26115388, 0.17959280, 0.09559333, 2.40639400, 2.41790533, 2.52247214, riaa_ok
0.56319088, 0.87186408, 1.09830594, 0.34277827, 0.25233969, 0.14059533, 2.14472127, 2.09456873, 2.06069875, riaa_ok
